date,symbol,pnl_usd,cumulative_usd
2023-06-26,EEM,30.2,6231.19
2023-06-26,XLV,81.3,6312.49
2023-06-26,SPY,62.59,6375.08
2023-07-03,XLP,41.62,6416.7
2023-07-03,HYG,30.84,6447.54
2023-07-05,XBI,112.95,6560.49
2023-07-10,XLF,18.15,6578.64
2023-07-10,EFA,71.52,6650.16
2023-07-10,XLY,78.97,6729.13
2023-07-11,GLD,111.74,6840.87
2023-07-12,SLV,22.33,6863.2
2023-07-12,LQD,51.13,6914.33
2023-07-12,GDX,28.9,6943.23
2023-07-13,AGG,49.92,6993.15
2023-07-17,SMH,90.84,7083.99
2023-07-19,IEF,57.75,7141.74
2023-07-21,EWZ,-82.99,7058.75
2023-07-21,FXI,-9.81,7048.94
2023-07-21,XLI,34.48,7083.42
2023-07-27,XLRE,26.95,7110.37
2023-08-02,XLK,103.26,7213.63
2023-08-03,VNQ,19.54,7233.17
2023-08-03,XLU,28.05,7261.22
2023-08-11,XLC,69.34,7330.56
2023-08-14,XLF,4.81,7335.37
2023-08-15,DIA,207.72,7543.09
2023-08-17,KRE,25.08,7568.17
2023-08-18,XLE,-82.91,7485.26
2023-08-18,TLT,-117.04,7368.22
2023-08-29,HYG,36.8,7405.02
2023-08-29,XLV,109.37,7514.39
2023-08-31,LQD,83.49,7597.88
2023-08-31,XLY,109.51,7707.39
2023-09-01,XLB,37.32,7744.71
2023-09-01,XLI,90.16,7834.87
2023-09-05,QQQ,95.4,7930.27
2023-09-05,GDX,16.36,7946.63
2023-09-05,AGG,16.14,7962.77
2023-09-11,GLD,130.08,8092.85
2023-09-13,EWZ,14.74,8107.59
2023-09-14,EFA,109.74,8217.33
2023-09-15,EEM,-11.45,8205.88
2023-09-15,XBI,-168.29,8037.59
2023-09-15,XLP,-113.7,7923.89
2023-09-21,FXI,6.45,7930.34
2023-09-21,TLT,29.16,7959.5
2023-09-21,VNQ,35.26,7994.76
2023-09-21,XLU,9.21,8003.97
2023-09-25,GLD,47.38,8051.35
2023-10-02,XLE,16.25,8067.6
2023-10-06,XLC,99.6,8167.2
2023-10-10,XLK,104.02,8271.22
2023-10-10,QQQ,79.28,8350.5
2023-10-11,XLI,83.25,8433.75
2023-10-12,XBI,46.82,8480.57
2023-10-16,SPY,72.91,8553.48
2023-10-17,IEF,15.68,8569.16
2023-10-18,HYG,18.22,8587.38
2023-10-20,SLV,-35.82,8551.56
2023-10-20,SMH,-342.49,8209.07
2023-10-20,DIA,-269.06,7940.01
2023-10-20,IWM,-386.27,7553.74
2023-10-20,EFA,-246.3,7307.44
2023-10-20,XLB,-147.21,7160.23
2023-10-20,XLF,-87.95,7072.28
2023-10-20,XLY,-340.96,6731.32
2023-10-30,EWZ,9.65,6740.97
2023-11-16,XLE,7.25,6748.22
2023-12-01,FXI,6.29,6754.51
2023-12-04,GLD,132.71,6887.22
2023-12-13,IWM,69.83,6957.05
2023-12-14,KRE,32.26,6989.31
2023-12-15,XLC,2.49,6991.8
2023-12-15,XLK,-332.09,6659.71
2023-12-15,XLRE,-161.6,6498.11
2023-12-15,XLU,22.19,6520.3
2023-12-15,SMH,-265.83,6254.47
2023-12-15,VNQ,-162.31,6092.16
2023-12-15,XLY,-412.58,5679.58
2023-12-26,GDX,20.68,5700.26
2024-01-02,EEM,37.53,5737.79
2024-01-02,EWZ,13.87,5751.66
2024-01-03,EFA,81.24,5832.9
2024-01-03,XLB,32.93,5865.83
2024-01-04,AGG,38.12,5903.95
2024-01-04,XLRE,14.25,5918.2
2024-01-08,IEF,44.78,5962.98
2024-01-08,XLC,73.92,6036.9
2024-01-09,GLD,115.55,6152.45
2024-01-10,TLT,20.16,6172.61
2024-01-10,XLK,103.0,6275.61
2024-01-11,SMH,76.49,6352.1
2024-01-17,HYG,35.34,6387.44
2024-01-18,LQD,52.67,6440.11
2024-01-18,XBI,188.38,6628.49
2024-01-18,QQQ,79.5,6707.99
2024-01-19,DIA,-268.9,6439.09
2024-01-19,SLV,-73.44,6365.65
2024-01-19,XLF,-56.17,6309.48
2024-01-19,XLI,-265.26,6044.22
2024-01-19,XLV,-157.66,5886.56
2024-01-19,XLY,-15.73,5870.83
2024-01-31,XLP,38.57,5909.4
2024-02-08,XLE,15.56,5924.96
2024-02-08,GDX,14.8,5939.76
2024-02-12,IWM,75.86,6015.62
2024-02-15,XLU,36.25,6051.87
2024-02-15,VNQ,81.34,6133.21
2024-02-21,XLRE,20.9,6154.11
2024-02-26,GLD,114.01,6268.12
2024-02-26,XLK,111.46,6379.58
2024-02-27,HYG,30.32,6409.9
2024-02-29,AGG,30.89,6440.79
2024-03-01,IEF,37.19,6477.98
2024-03-04,EEM,27.71,6505.69
2024-03-05,LQD,97.01,6602.7
2024-03-05,XLY,98.73,6701.43
2024-03-05,DIA,112.69,6814.12
2024-03-05,EWZ,10.37,6824.49
2024-03-05,TLT,53.42,6877.91
2024-03-11,XBI,151.13,7029.04
2024-03-15,SPY,-382.13,6646.91
2024-03-15,EFA,-31.98,6614.93
2024-03-15,KRE,-143.12,6471.81
2024-03-15,XLB,-159.4,6312.41
2024-03-15,XLC,-1.64,6310.77
2024-03-15,XLF,-65.6,6245.17
2024-03-15,XLI,-214.39,6030.78
2024-03-15,XLV,52.54,6083.32
2024-03-18,VNQ,17.77,6101.09
2024-03-27,XLU,15.83,6116.92
2024-03-27,GLD,62.47,6179.39
2024-04-01,SMH,96.97,6276.36
2024-04-01,GDX,24.78,6301.14
2024-04-02,XLP,36.49,6337.63
2024-04-03,EFA,37.07,6374.7
2024-04-04,EEM,17.52,6392.22
2024-04-04,LQD,24.78,6417.0
2024-04-08,HYG,12.66,6429.66
2024-04-08,XLK,104.31,6533.97
2024-04-08,XLRE,28.43,6562.4
2024-04-08,XLY,82.79,6645.19
2024-04-10,XLB,30.15,6675.34
2024-04-10,XLC,86.06,6761.4
2024-04-12,FXI,11.42,6772.82
2024-04-19,XLE,-59.78,6713.04
2024-04-19,SLV,-60.54,6652.5
2024-04-19,AGG,-101.72,6550.78
2024-04-19,DIA,-279.35,6271.43
2024-04-19,XLV,-353.15,5918.28
2024-04-29,XLY,63.26,5981.54
2024-04-30,XLE,8.63,5990.17
2024-05-01,KRE,43.32,6033.49
2024-05-06,EWZ,11.72,6045.21
2024-05-06,XBI,132.73,6177.94
2024-05-06,XLI,107.78,6285.72
2024-05-06,XLF,19.14,6304.86
2024-05-06,IWM,84.24,6389.1
2024-05-06,XLK,63.64,6452.74
2024-05-07,QQQ,69.57,6522.31
2024-05-09,SPY,86.58,6608.89
2024-05-15,HYG,16.87,6625.76
2024-05-15,SLV,15.38,6641.14
2024-05-15,XLC,54.63,6695.77
2024-05-17,IEF,-9.17,6686.6
2024-05-17,TLT,-74.36,6612.24
2024-05-17,GLD,73.74,6685.98
2024-05-23,EWZ,4.63,6690.61
2024-05-24,SMH,67.83,6758.44
2024-05-29,XLB,29.44,6787.88
2024-05-30,XLP,35.66,6823.54
2024-05-31,XLV,105.67,6929.21
2024-06-03,AGG,20.66,6949.87
2024-06-05,QQQ,90.73,7040.6
2024-06-05,XBI,63.55,7104.15
2024-06-07,VNQ,38.1,7142.25
2024-06-07,XLRE,35.28,7177.53
2024-06-11,EFA,122.91,7300.44
2024-06-11,FXI,16.81,7317.25
2024-06-17,XLU,58.3,7375.55
2024-06-20,LQD,37.54,7413.09
2024-06-20,DIA,211.81,7624.9
